voice_id,name,gender,age_group,languages,voice_traits,preview_url
0a690dbeb3984a9f88cd39353880775f,Меллстрой,男,中年,俄语,活力|自信|动感|快速|俄语,https://platform.r2.fish.audio/task/84df1682f0e34ce5babf4bb494a1fa5d.mp3
2a1036d645634680b3cc69aeeb60375b,Спокойный женский голос,女,年长,俄语,中音|平静|匀速|顺滑|清晰,https://platform.r2.fish.audio/task/18f869208a9742c78c56f063f70b3472.mp3
6dc11f3f67a543f6ad4537a4a347e224,Mita Miside (Russian voice),女,青年,英语|俄语,俄语|游戏|角色感,https://platform.r2.fish.audio/task/58f64c84bd8e46deb5a4073f66233d7b.mp3
868377a7b08f4c0d9acf8c9f059571aa,Молодой Аналитик,男,青年,俄语,教育|清晰|专业|严肃|匀速,https://platform.r2.fish.audio/task/c2ea019cd1994f88b00e405102f27381.mp3
aa615eaff73f417e91cfbb4ea0e42df8,Женский голос,女,中年,俄语,中音|顺滑|平静|表现力|故事感,https://platform.r2.fish.audio/task/da52ee902e17408dbe35f18e24b5407a.mp3
bc8eb8dcdc184763b0a769ee03275724,Жириновский,男,年长,俄语,愤怒|戏剧化|俄语|电影感|游戏,https://platform.r2.fish.audio/task/a57e0a613a6f4522b7a1daed0184b334.mp3
1d51fdd65ff14342aec4dffa0ef58386,غامبول,男,青年,阿拉伯语,教育|活力|清晰|友好|阿拉伯语,https://platform.r2.fish.audio/task/d41da98ab8c342a288b63b156433fece.mp3
33ceed22a1ff4c15b5a7d4b0617e21b8,ميماتي,男,中年,阿拉伯语,高音|低沉|沙哑|严肃|权威,https://platform.r2.fish.audio/task/070885afa9c04c3da59a708696c13ba1.mp3
564ff4b232d6427f91513321de5fb651,قثيض,女,中年,阿拉伯语,活力|专业|清晰|干脆|阿拉伯语,https://platform.r2.fish.audio/task/007ad23ba58c4204bddf0abb570f8706.mp3
5b67899dc9a34685ae09c94c890a606f,عصام الشوالي,男,年长,阿拉伯语,活力|动感|播音|表现力|阿拉伯语,https://platform.r2.fish.audio/task/f5133257f1b94194ac2083547efe8fac.mp3
7eee0787bf1a476fb0864270853e344a,يي,女,青年,阿拉伯语,柔和|气声|温柔|亲密|阿拉伯语,https://platform.r2.fish.audio/task/5e8b57eed6e84e9cba4d626957bd5c5e.mp3
